                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2792,                 1.7921,                 1.3135,                0.47905,                0.32897,                0.33601,                0.22117,                 1.3356,                 1.7173,                  1.348,                   0.01,                   0.01,                   0.01
                      2,                 1.2868,                 1.8115,                  1.318,                0.50673,                0.33924,                0.35066,                0.23024,                 1.3213,                 1.6661,                 1.3384,              0.0099976,              0.0099976,              0.0099976
                      3,                 1.2886,                 1.8198,                 1.3202,                0.50195,                 0.3495,                0.36342,                 0.2416,                 1.3017,                 1.6111,                 1.3263,              0.0099902,              0.0099902,              0.0099902
                      4,                  1.288,                  1.813,                 1.3176,                0.50682,                0.36677,                 0.3802,                0.25356,                 1.2856,                 1.5683,                  1.309,               0.009978,               0.009978,               0.009978
                      5,                 1.2849,                 1.8098,                 1.3168,                0.52324,                0.36957,                0.39065,                0.26173,                 1.2705,                 1.5353,                 1.2992,               0.009961,               0.009961,               0.009961
                      6,                 1.2851,                 1.8085,                 1.3158,                0.53364,                0.37442,                0.39801,                0.26793,                 1.2607,                 1.5136,                 1.2913,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.2855,                 1.8071,                 1.3167,                0.53667,                0.38441,                0.40522,                0.27373,                 1.2471,                 1.4943,                 1.2829,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.2832,                 1.8075,                 1.3141,                0.55501,                0.38365,                0.41044,                0.27802,                 1.2389,                 1.4825,                 1.2766,              0.0098808,              0.0098808,              0.0098808
                      9,                  1.283,                 1.8019,                 1.3129,                0.53711,                0.39298,                0.41257,                0.27972,                 1.2356,                 1.4725,                 1.2746,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.2817,                 1.7985,                 1.3128,                0.54566,                0.39173,                0.41418,                0.28107,                 1.2332,                 1.4686,                 1.2722,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.2811,                 1.7959,                 1.3118,                0.54224,                 0.3964,                 0.4155,                0.28217,                 1.2321,                 1.4658,                 1.2716,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.2781,                 1.7921,                 1.3091,                0.54197,                0.39752,                0.41646,                0.28298,                 1.2309,                 1.4628,                 1.2706,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.2792,                 1.7873,                 1.3072,                0.54359,                0.39534,                 0.4169,                 0.2836,                 1.2296,                 1.4599,                 1.2694,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.2778,                 1.7847,                  1.305,                0.54381,                0.39618,                0.41827,                 0.2845,                 1.2274,                 1.4571,                 1.2679,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.2768,                 1.7852,                 1.3051,                 0.5385,                0.40078,                0.41915,                0.28527,                  1.227,                 1.4543,                 1.2674,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.2741,                 1.7774,                 1.3035,                0.54528,                0.39818,                0.42001,                0.28611,                 1.2264,                 1.4522,                 1.2666,              0.0094605,              0.0094605,              0.0094605
                     17,                 1.2746,                 1.7791,                 1.3025,                0.54286,                0.40035,                0.42083,                 0.2864,                 1.2261,                 1.4508,                 1.2659,              0.0093877,              0.0093877,              0.0093877
                     18,                 1.2733,                 1.7731,                 1.3009,                0.54725,                0.39844,                0.42096,                0.28688,                 1.2251,                 1.4496,                 1.2646,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.2726,                 1.7701,                 1.3004,                0.54422,                0.39886,                0.42111,                0.28675,                 1.2238,                 1.4471,                 1.2633,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.2698,                 1.7679,                 1.2993,                0.54135,                0.40323,                0.42158,                0.28759,                  1.223,                 1.4459,                 1.2623,               0.009144,               0.009144,               0.009144
                     21,                 1.2696,                 1.7649,                 1.2978,                0.54999,                 0.3993,                0.42305,                0.28864,                 1.2227,                 1.4439,                 1.2618,              0.0090546,              0.0090546,              0.0090546
                     22,                 1.2695,                  1.761,                 1.2976,                0.55849,                0.39608,                0.42399,                0.28912,                  1.222,                 1.4414,                 1.2609,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.2699,                 1.7583,                  1.297,                0.56106,                0.39583,                0.42379,                0.28916,                 1.2215,                 1.4403,                 1.2603,               0.008864,               0.008864,               0.008864
